                                                                                                                                               Solvent                                        CAS_solvent                                                                                       Family_solvent                                                                                                                                              Reactant1                                                                                            Family_R1                                                                                                                                              Reactant2                                                                                            Family_R2                                                                                                                                       Transition-State                                                                                            Family_TS                           T[K]                         P[bar]         DGsolv_exp_1[kcal/mol]        DGsolv_calc_1[kcal/mol]         DGsolv_exp_2[kcal/mol]        DGsolv_calc_2[kcal/mol]        DGsolv_exp_TS[kcal/mol]       DGsolv_calc_TS[kcal/mol]          DDGsolv_exp[kcal/mol]         DDGsolv_calc[kcal/mol]
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS2                                                                                RORp-Transition-state                            298                              0                       -1.52956                       -1.72423                       -1.80317                       -1.83868                       -3.34916                       -3.59071                       -0.01643                       -0.02781
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS3                                                                                RORp-Transition-state                            298                              0                       -1.87148                       -2.18136                       -1.97137                       -1.93923                       -3.97030                       -4.08918                       -0.12745                        0.03142
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS3                                                                                RORp-Transition-state                            298                              0                       -0.99400                       -1.37677                       -2.48306                       -2.28137                       -3.23132                       -3.31825                        0.24574                        0.33990
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS3                                                                                RORp-Transition-state                            298                              0                       -2.34821                       -2.80383                       -2.35917                       -2.55752                       -5.03021                       -5.53352                       -0.32283                       -0.17217
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS3                                                                                RORp-Transition-state                            298                              0                       -2.33144                       -2.60003                       -2.08122                       -2.06936                       -4.02296                       -3.98234                        0.38970                        0.68706
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS3                                                                                RORp-Transition-state                            298                              0                       -2.26128                       -2.45406                       -1.25166                       -1.27381                       -3.53396                       -3.49284                       -0.02102                        0.23502
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS3                                                                                RORp-Transition-state                            298                              0                       -1.66588                       -2.25254                       -2.42445                       -2.38282                       -3.72462                       -3.97069                        0.36571                        0.66467
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS3                                                                                RORp-Transition-state                            298                              0                       -2.31870                       -2.64827                       -2.29484                       -2.23693                       -4.13775                       -4.17708                        0.47579                        0.70812
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                              isobutane                                                                                        MéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS3                                                                                RORp-Transition-state                            298                              0                       -2.14696                       -2.46556                       -1.80317                       -1.83868                       -3.87681                       -4.04485                        0.07332                        0.25938
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS4                                                                                RORp-Transition-state                            298                              0                       -2.37309                       -2.68346                       -1.97137                       -1.93923                       -4.73056                       -4.44406                       -0.38610                        0.17863
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS4                                                                                RORp-Transition-state                            298                              0                       -1.36173                       -1.78813                       -2.48306                       -2.28137                       -3.52443                       -3.41864                        0.32036                        0.65086
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS4                                                                                RORp-Transition-state                            298                              0                       -2.92574                       -3.40400                       -2.35917                       -2.55752                       -5.59099                       -6.10126                       -0.30608                       -0.13974
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS4                                                                                RORp-Transition-state                            298                              0                       -2.89597                       -3.05802                       -2.08122                       -2.06936                       -4.53066                       -4.42879                        0.44653                        0.69859
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS4                                                                                RORp-Transition-state                            298                              0                       -2.82325                       -2.90256                       -1.25166                       -1.27381                       -4.05890                       -3.91632                        0.01601                        0.26005
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS4                                                                                RORp-Transition-state                            298                              0                       -2.13185                       -2.71225                       -2.42445                       -2.38282                       -4.11365                       -4.32697                        0.44265                        0.76811
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS4                                                                                RORp-Transition-state                            298                              0                       -2.87454                       -3.13818                       -2.29484                       -2.23693                       -4.62919                       -4.66077                        0.54019                        0.71434
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                             neopentane                                                                                      DiMéthylAlcanes                                                                                                                                         (RA-1)methanol                                                                                       Alkoxy-radical                                                                                                                                               RORp_TS4                                                                                RORp-Transition-state                            298                              0                       -2.69154                       -2.96007                       -1.80317                       -1.83868                       -4.37106                       -4.49463                        0.12365                        0.30411
