                                                                                                                                               Solvent                                        CAS_solvent                                                                                       Family_solvent                                                                                                                                              Reactant1                                                                                            Family_R1                                                                                                                                              Reactant2                                                                                            Family_R2                                                                                                                                       Transition-State                                                                                            Family_TS                           T[K]                         P[bar]         DGsolv_exp_1[kcal/mol]        DGsolv_calc_1[kcal/mol]         DGsolv_exp_2[kcal/mol]        DGsolv_calc_2[kcal/mol]        DGsolv_exp_TS[kcal/mol]       DGsolv_calc_TS[kcal/mol]          DDGsolv_exp[kcal/mol]         DDGsolv_calc[kcal/mol]
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                          (RA-1)ethanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS8                                                                                RORs-Transition-state                            298                              0                       -3.56336                       -4.13900                       -3.19656                       -3.39120                       -7.12693                       -7.84749                       -0.36701                       -0.31729
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                          (RA-1)ethanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS8                                                                                RORs-Transition-state                            298                              0                       -3.50785                       -3.72688                       -2.56800                       -2.58491                       -6.02800                       -5.95927                        0.04785                        0.35252
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                          (RA-1)ethanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS8                                                                                RORs-Transition-state                            298                              0                       -3.45102                       -3.58632                       -2.00575                       -2.06820                       -5.57360                       -5.48120                       -0.11683                        0.17332
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                          (RA-1)ethanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS8                                                                                RORs-Transition-state                            298                              0                       -2.61771                       -3.32752                       -2.74780                       -2.71557                       -5.37393                       -5.81194                       -0.00842                        0.23115
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                          (RA-1)ethanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS8                                                                                RORs-Transition-state                            298                              0                       -3.47596                       -3.84307                       -2.75102                       -2.71142                       -6.11656                       -6.27720                        0.11042                        0.27728
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                          (RA-1)ethanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS8                                                                                RORs-Transition-state                            298                              0                       -3.31221                       -3.65221                       -2.46967                       -2.55460                       -5.80570                       -6.09425                       -0.02382                        0.11256
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS9                                                                                RORs-Transition-state                            298                              0                       -1.31324                       -1.41400                       -3.49064                       -3.18554                       -5.32796                       -5.08588                       -0.52408                       -0.48634
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS9                                                                                RORs-Transition-state                            298                              0                       -0.59475                       -0.70272                       -3.65208                       -3.12835                       -4.06830                       -3.93147                        0.17853                       -0.10040
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS9                                                                                RORs-Transition-state                            298                              0                       -1.70274                       -1.94715                       -4.33840                       -4.16551                       -6.35472                       -6.66692                       -0.31358                       -0.55426
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS9                                                                                RORs-Transition-state                            298                              0                       -1.69875                       -1.89109                       -3.49818                       -3.26281                       -5.06472                       -4.90808                        0.13221                        0.24582
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS9                                                                                RORs-Transition-state                            298                              0                       -1.62258                       -1.78373                       -2.83032                       -2.57526                       -4.57877                       -4.44259                       -0.12587                       -0.08360
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS9                                                                                RORs-Transition-state                            298                              0                       -1.15528                       -1.53548                       -3.72131                       -3.45905                       -4.67795                       -4.81542                        0.19864                        0.17911
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS9                                                                                RORs-Transition-state                            298                              0                       -1.69800                       -1.89631                       -3.73227                       -3.45748                       -5.17342                       -5.15010                        0.25685                        0.20370
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                                propane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                               RORs_TS9                                                                                RORs-Transition-state                            298                              0                       -1.52956                       -1.72423                       -3.42631                       -3.17535                       -4.84629                       -4.99908                        0.10958                       -0.09950
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS10                                                                                RORs-Transition-state                            298                              0                       -1.93541                       -2.12697                       -3.49064                       -3.18554                       -5.67760                       -5.72459                       -0.25155                       -0.41209
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS10                                                                                RORs-Transition-state                            298                              0                       -1.02883                       -1.24088                       -3.65208                       -3.12835                       -4.26811                       -4.39565                        0.41280                       -0.02642
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS10                                                                                RORs-Transition-state                            298                              0                       -2.42766                       -2.74452                       -4.33840                       -4.16551                       -6.73518                       -7.40638                        0.03088                       -0.49635
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS10                                                                                RORs-Transition-state                            298                              0                       -2.40574                       -2.63659                       -3.49818                       -3.26281                       -5.49288                       -5.58193                        0.41104                        0.31747
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS10                                                                                RORs-Transition-state                            298                              0                       -2.34772                       -2.55398                       -2.83032                       -2.57526                       -5.04647                       -5.12924                        0.13157                       -0.00000
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS10                                                                                RORs-Transition-state                            298                              0                       -1.71343                       -2.22892                       -3.72131                       -3.45905                       -4.95413                       -5.43775                        0.48061                        0.25023
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS10                                                                                RORs-Transition-state                            298                              0                       -2.38968                       -2.67911                       -3.73227                       -3.45748                       -5.58360                       -5.86137                        0.53835                        0.27522
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                                 butane                                                                                            n-Alcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS10                                                                                RORs-Transition-state                            298                              0                       -2.22924                       -2.49711                       -3.42631                       -3.17535                       -5.29300                       -5.69444                        0.36255                       -0.02198
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS11                                                                                RORs-Transition-state                            298                              0                       -2.43923                       -2.85566                       -3.49064                       -3.18554                       -6.04808                       -6.04229                       -0.11821                       -0.00109
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS11                                                                                RORs-Transition-state                            298                              0                       -1.39467                       -1.87391                       -3.65208                       -3.12835                       -4.53347                       -4.56969                        0.51328                        0.43257
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS11                                                                                RORs-Transition-state                            298                              0                       -3.01190                       -3.57715                       -4.33840                       -4.16551                       -7.21906                       -7.79817                        0.13124                       -0.05551
                                                                                                                                          diethylether                                            60-29-7                                                                                  Ethers_Aliphatiques                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS11                                                                                RORs-Transition-state                            298                              0                       -2.97526                       -3.30609                       -3.49818                       -3.26281                       -5.99100                       -5.96835                        0.48244                        0.60056
                                                                                                                                             n-heptane                                           142-82-5                                                                                            n-Alcanes                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS11                                                                                RORs-Transition-state                            298                              0                       -2.92170                       -3.17576                       -2.83032                       -2.57526                       -5.55995                       -5.50564                        0.19207                        0.24539
                                                                                                                                             propanone                                            67-64-1                                                                                              Cetones                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS11                                                                                RORs-Transition-state                            298                              0                       -2.17277                       -2.90653                       -3.72131                       -3.45905                       -5.32752                       -5.76783                        0.56656                        0.59775
                                                                                                                                                   thf                                           109-99-9                                                                                             Epoxydes                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS11                                                                                RORs-Transition-state                            298                              0                       -2.94973                       -3.39194                       -3.73227                       -3.45748                       -6.06892                       -6.27337                        0.61308                        0.57605
                                                                                                                                               toluene                                           108-88-3                                                                                      n-AlcylBenzenes                                                                                                                                           methylbutane                                                                                        MéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS11                                                                                RORs-Transition-state                            298                              0                       -2.79063                       -3.19678                       -3.42631                       -3.17535                       -5.78004                       -6.07286                        0.43690                        0.29927
                                                                                                                                             1-butanol                                            71-36-3                                                                                            n-Alcools                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS12                                                                                RORs-Transition-state                            298                              0                       -2.91695                       -3.31773                       -3.49064                       -3.18554                       -6.33406                       -6.41342                        0.07353                        0.08986
                                                                                                                                          acetonitrile                                            75-05-8                                                                                             Nitriles                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS12                                                                                RORs-Transition-state                            298                              0                       -1.75743                       -2.24547                       -3.65208                       -3.12835                       -4.78847                       -4.85483                        0.62104                        0.51900
                                                                                                                                                 chcl3                                            67-66-3                                                                           Chlores_Aliphatiques_C1/C2                                                                                                                                     2,2-dimethylbutane                                                                                      DiMéthylAlcanes                                                                                                                                       (RA-1)2-propanol                                                                                       Alkoxy-radical                                                                                                                                              RORs_TS12                                                                                RORs-Transition-state                            298                              0                       -3.56336                       -4.13900                       -4.33840                       -4.16551                       -7.68128                       -8.28397                        0.22048                        0.02054
